DATAFLOW,REF_AREA,FREQ,SINIFLAMA_DUZEYI,DEGISIM,OZEL_KAPSAM_TUFE,BASE_PER,YAYIM_DONEMI,COICOP_1999,COICOP_2018,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,CONF_STATUS,TIME_FORMAT,UNIT_MULT,OBS_STATUS,DECIMALS
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02110,F_TFE,2026-03,112.77,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02110,F_TFE,2026-04,112.97,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02110,F_TFE,2026-05,111.84,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02110,F_TFE,2026-06,114.57,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02110,F_TFE,2026-07,123.04,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02110,F_TFE,2026-08,128.89,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02121,F_TFE,2026-03,117.26,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02121,F_TFE,2026-04,116.9,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02121,F_TFE,2026-05,118.22,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02121,F_TFE,2026-06,120.04,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02121,F_TFE,2026-07,121.66,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02121,F_TFE,2026-08,126.5,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02130,F_TFE,2026-03,123.69,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02130,F_TFE,2026-04,122.71,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02130,F_TFE,2026-05,123.25,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02130,F_TFE,2026-06,124.01,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02130,F_TFE,2026-07,133.18,,,,,,
TR:DF_TUFE_SDMX_TT09(1.0),TR,M,5,1,_Z,2025,2026_01,_Z,02130,F_TFE,2026-08,140.2,,,,,,
